"区分","在園者数･入園者数_在園者数_計","在園者数･入園者数_在園者数_男","在園者数･入園者数_在園者数_女","在園者数･入園者数_本年度入園者数_計","在園者数･入園者数_本年度入園者数_男","在園者数･入園者数_本年度入園者数_女","入園年齢別在園者数（公立）_計_計","入園年齢別在園者数（公立）_計_男","入園年齢別在園者数（公立）_計_女","入園年齢別在園者数（公立）_３歳_計_計","入園年齢別在園者数（公立）_３歳_計_男","入園年齢別在園者数（公立）_３歳_計_女","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_計","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_男","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_女","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_計","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_男","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_女","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_計","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_男","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_女","入園年齢別在園者数（公立）（つづき）_４歳_計_計","入園年齢別在園者数（公立）（つづき）_４歳_計_男","入園年齢別在園者数（公立）（つづき）_４歳_計_女","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_計","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_男","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_女","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_計","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_男","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_女","入園年齢別在園者数（公立）（つづき）_５歳_計_計","入園年齢別在園者数（公立）（つづき）_５歳_計_男","入園年齢別在園者数（公立）（つづき）_５歳_計_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_女","入園年齢別在園者数（私立）_計_計","入園年齢別在園者数（私立）_計_男","入園年齢別在園者数（私立）_計_女","入園年齢別在園者数（私立）_３歳_計_計","入園年齢別在園者数（私立）_３歳_計_男","入園年齢別在園者数（私立）_３歳_計_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_女","入園年齢別在園者数（私立）（つづき）_４歳_計_計","入園年齢別在園者数（私立）（つづき）_４歳_計_男","入園年齢別在園者数（私立）（つづき）_４歳_計_女","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_計","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_男","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_女","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_計","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_男","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_女","入園年齢別在園者数（私立）（つづき）_５歳_計_計","入園年齢別在園者数（私立）（つづき）_５歳_計_男","入園年齢別在園者数（私立）（つづき）_５歳_計_女","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_計","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_男","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_女","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_計","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_男","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_女","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_計","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_男","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_女"
"紀美野町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"かつらぎ町","33.0","24.0","9.0","11.0","7.0","4.0","12.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","3.0","0.0","0.0","0.0","4.0","1.0","3.0","8.0","7.0","1.0","0.0","0.0","0.0","7.0","6.0","1.0","1.0","1.0","0.0","21.0","16.0","5.0","7.0","6.0","1.0","0.0","0.0","0.0","4.0","3.0","1.0","3.0","3.0","0.0","5.0","5.0","0.0","4.0","4.0","0.0","1.0","1.0","0.0","9.0","5.0","4.0","7.0","3.0","4.0","1.0","1.0","0.0","1.0","1.0","0.0"
"九度山町","38.0","23.0","15.0","12.0","4.0","8.0","38.0","23.0","15.0","11.0","4.0","7.0","0.0","0.0","0.0","11.0","4.0","7.0","0.0","0.0","0.0","10.0","8.0","2.0","9.0","8.0","1.0","1.0","0.0","1.0","17.0","11.0","6.0","16.0","10.0","6.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"湯浅町","90.0","50.0","40.0","21.0","15.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","90.0","50.0","40.0","30.0","21.0","9.0","0.0","0.0","0.0","18.0","13.0","5.0","12.0","8.0","4.0","27.0","13.0","14.0","25.0","11.0","14.0","2.0","2.0","0.0","33.0","16.0","17.0","31.0","16.0","15.0","1.0","0.0","1.0","1.0","0.0","1.0"
"広川町","64.0","34.0","30.0","25.0","10.0","15.0","64.0","34.0","30.0","21.0","9.0","12.0","0.0","0.0","0.0","21.0","9.0","12.0","0.0","0.0","0.0","19.0","11.0","8.0","16.0","10.0","6.0","3.0","1.0","2.0","24.0","14.0","10.0","20.0","12.0","8.0","3.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"美浜町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
