"区分","在園者数･入園者数_在園者数_計","在園者数･入園者数_在園者数_男","在園者数･入園者数_在園者数_女","在園者数･入園者数_本年度入園者数_計","在園者数･入園者数_本年度入園者数_男","在園者数･入園者数_本年度入園者数_女","入園年齢別在園者数（公立）_計_計","入園年齢別在園者数（公立）_計_男","入園年齢別在園者数（公立）_計_女","入園年齢別在園者数（公立）_３歳_計_計","入園年齢別在園者数（公立）_３歳_計_男","入園年齢別在園者数（公立）_３歳_計_女","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_計","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_男","入園年齢別在園者数（公立）_３歳_本年度満３歳児入園_女","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_計","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_男","入園年齢別在園者数（公立）_３歳_本年度３歳児入園_女","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_計","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_男","入園年齢別在園者数（公立）（つづき）_３歳（つづき）_前年度間入園_女","入園年齢別在園者数（公立）（つづき）_４歳_計_計","入園年齢別在園者数（公立）（つづき）_４歳_計_男","入園年齢別在園者数（公立）（つづき）_４歳_計_女","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_計","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_男","入園年齢別在園者数（公立）（つづき）_４歳_３歳入園_女","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_計","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_男","入園年齢別在園者数（公立）（つづき）_４歳_４歳入園（本年度入園者）_女","入園年齢別在園者数（公立）（つづき）_５歳_計_計","入園年齢別在園者数（公立）（つづき）_５歳_計_男","入園年齢別在園者数（公立）（つづき）_５歳_計_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_３歳入園_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_４歳入園_女","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_計","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_男","入園年齢別在園者数（公立）（つづき）_５歳（つづき）_５歳入園（本年度入園者）_女","入園年齢別在園者数（私立）_計_計","入園年齢別在園者数（私立）_計_男","入園年齢別在園者数（私立）_計_女","入園年齢別在園者数（私立）_３歳_計_計","入園年齢別在園者数（私立）_３歳_計_男","入園年齢別在園者数（私立）_３歳_計_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度満３歳児入園_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_本年度３歳児入園_女","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_計","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_男","入園年齢別在園者数（私立）（つづき）_３歳（つづき）_前年度間入園_女","入園年齢別在園者数（私立）（つづき）_４歳_計_計","入園年齢別在園者数（私立）（つづき）_４歳_計_男","入園年齢別在園者数（私立）（つづき）_４歳_計_女","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_計","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_男","入園年齢別在園者数（私立）（つづき）_４歳_３歳入園_女","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_計","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_男","入園年齢別在園者数（私立）（つづき）_４歳（つづき）_４歳入園（本年度入園者）_女","入園年齢別在園者数（私立）（つづき）_５歳_計_計","入園年齢別在園者数（私立）（つづき）_５歳_計_男","入園年齢別在園者数（私立）（つづき）_５歳_計_女","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_計","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_男","入園年齢別在園者数（私立）（つづき）_５歳_３歳入園_女","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_計","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_男","入園年齢別在園者数（私立）（つづき）_５歳_４歳入園_女","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_計","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_男","入園年齢別在園者数（私立）（つづき）_５歳_５歳入園（本年度入園者）_女"
"印南町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","88.0","45.0","43.0","21.0","6.0","15.0","65.0","35.0","30.0","12.0","3.0","9.0","0.0","0.0","0.0","12.0","3.0","9.0","0.0","0.0","0.0","25.0","17.0","8.0","23.0","15.0","8.0","2.0","2.0","0.0","28.0","15.0","13.0","23.0","13.0","10.0","5.0","2.0","3.0","0.0","0.0","0.0","23.0","10.0","13.0","12.0","4.0","8.0","0.0","0.0","0.0","6.0","1.0","5.0","6.0","3.0","3.0","6.0","3.0","3.0","5.0","3.0","2.0","1.0","0.0","1.0","5.0","3.0","2.0","5.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"白浜町","70.0","36.0","34.0","25.0","16.0","9.0","70.0","36.0","34.0","15.0","10.0","5.0","2.0","1.0","1.0","13.0","9.0","4.0","0.0","0.0","0.0","33.0","16.0","17.0","24.0","11.0","13.0","9.0","5.0","4.0","22.0","10.0","12.0","9.0","5.0","4.0","12.0","4.0","8.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"上富田町","144.0","75.0","69.0","46.0","27.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","144.0","75.0","69.0","40.0","22.0","18.0","0.0","0.0","0.0","40.0","22.0","18.0","0.0","0.0","0.0","54.0","30.0","24.0","48.0","25.0","23.0","6.0","5.0","1.0","50.0","23.0","27.0","40.0","18.0","22.0","10.0","5.0","5.0","0.0","0.0","0.0"
"すさみ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"太地町","20.0","8.0","12.0","6.0","3.0","3.0","20.0","8.0","12.0","6.0","3.0","3.0","0.0","0.0","0.0","6.0","3.0","3.0","0.0","0.0","0.0","4.0","3.0","1.0","4.0","3.0","1.0","0.0","0.0","0.0","10.0","2.0","8.0","9.0","2.0","7.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北山村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串本町","76.0","41.0","35.0","30.0","14.0","16.0","76.0","41.0","35.0","25.0","11.0","14.0","0.0","0.0","0.0","25.0","11.0","14.0","0.0","0.0","0.0","20.0","10.0","10.0","19.0","9.0","10.0","1.0","1.0","0.0","31.0","20.0","11.0","19.0","12.0","7.0","8.0","6.0","2.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
